filename,total_pages,new_start,new_end,new_pages,new_md_words,gt_words,coverage,jaccard,start_signals,end_signal,action,reason
Central_Mine_Planning___Design_Institute_Ltd_.pdf,556,41,87,46,32935,32211,1.022,0.955,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chalet_Hotels_Ltd_.pdf,701,17,48,31,22567,22414,1.007,0.999,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chemcon_Speciality_Chemicals_Ltd_.pdf,347,24,52,28,20624,20458,1.008,0.996,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chemplast_Sanmar_Ltd_.pdf,520,30,57,27,19331,19307,1.001,0.99,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Clean_Max_Enviro_Energy_Solutions_Ltd_.pdf,994,48,103,55,49376,48072,1.027,0.916,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Clean_Science___Technology_Ltd_.pdf,331,22,57,35,31125,31065,1.002,0.992,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Computer_Age_Management_Services_Ltd_.pdf,301,21,47,26,22723,22743,0.999,0.993,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Concord_Biotech_Ltd_.pdf,380,29,61,32,24172,23868,1.013,0.953,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Concord_Enviro_Systems_Ltd_.pdf,611,33,101,68,48522,47302,1.026,0.957,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Corona_Remedies_Ltd_.pdf,545,34,90,56,42457,41187,1.031,0.946,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Craftsman_Automation_Ltd_.pdf,454,23,55,32,23858,23777,1.003,0.986,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Credo_Brands_Marketing_Ltd_.pdf,397,30,72,42,35507,34903,1.017,0.965,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Crizac_Ltd_.pdf,486,40,75,35,24538,25019,0.981,0.957,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Cyient_DLM_Ltd_.pdf,375,26,30,4,2386,2243,1.064,0.769,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
DAM_Capital_Advisors_Ltd_.pdf,405,25,30,5,2541,2391,1.063,0.794,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
DCX_Systems_Ltd_.pdf,437,30,71,41,31857,31547,1.01,0.951,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
DEE_Development_Engineers_Ltd_.pdf,508,33,95,62,49407,48055,1.028,0.998,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
DOMS_Industries_Ltd_.pdf,506,35,73,38,27159,26250,1.035,0.916,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,header_bare_risk_factors",section_introduction,WROTE_NEW,certified_clean
Data_Patterns__India__Ltd_.pdf,414,36,68,32,25179,24911,1.011,0.98,"high_degree_of_risk,internal_risk_factors_header,carefully_consider_risks_described,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Deepak_Builders___Engineers_India_Ltd_.pdf,464,38,87,49,33978,33628,1.01,0.957,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Delhivery_Ltd_.pdf,650,37,91,54,40915,40746,1.004,0.906,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Denta_Water___Infra_Solutions_Ltd_.pdf,423,34,72,38,29865,29568,1.01,0.993,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dev_Accelerator_Ltd_.pdf,473,42,83,41,31774,31309,1.015,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Devyani_International_Ltd_.pdf,421,28,60,32,29592,29416,1.006,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dharmaj_Crop_Guard_Ltd_.pdf,401,33,69,36,26988,26861,1.005,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Diffusion_Engineers_Ltd_.pdf,529,41,94,53,34929,34463,1.014,0.974,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Divgi_TorqTransfer_Systems_Ltd_.pdf,403,29,58,29,26458,25429,1.04,0.903,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dodla_Dairy_Ltd_.pdf,326,20,48,28,24692,24577,1.005,0.99,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dr_Agarwal_s_Health_Care_Ltd_.pdf,500,37,76,39,33157,32862,1.009,0.969,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dreamfolks_Services_Ltd_.pdf,334,25,48,23,18292,18159,1.007,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
ECOS__India__Mobility___Hospitality_Ltd_.pdf,364,27,65,38,31477,30864,1.02,0.957,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
EMS_Ltd_.pdf,540,34,90,56,36782,36685,1.003,0.999,"carefully_consider_risks_described,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
EPACK_Durable_Ltd_.pdf,506,40,79,39,29962,29755,1.007,0.999,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
ESAF_Small_Finance_Bank_Ltd_.pdf,518,39,99,60,50857,49783,1.022,0.961,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Easy_Trip_Planners_Ltd_.pdf,475,25,66,41,32506,32390,1.004,0.985,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Electronics_Mart_India_Ltd_.pdf,401,26,63,37,26489,26281,1.008,0.986,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Elin_Electronics_Ltd_.pdf,415,29,60,31,24753,24585,1.007,0.981,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Ellenbarrie_Industrial_Gases_Ltd_.pdf,417,31,67,36,33272,32744,1.016,0.981,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Emcure_Pharmaceuticals_Ltd_.pdf,546,46,101,55,44154,43374,1.018,0.996,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Emmvee_Photovoltaic_Power_Ltd_.pdf,511,23,35,12,6755,6492,1.041,0.971,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
Entero_Healthcare_Solutions_Ltd_.pdf,573,38,71,33,23046,22684,1.016,0.971,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Enviro_Infra_Engineers_Ltd_.pdf,531,39,88,49,34322,34098,1.007,0.991,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Epack_Prefab_Technologies_Ltd_.pdf,504,36,74,38,32641,32296,1.011,0.981,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Equitas_Small_Finance_Bank_Ltd_.pdf,390,24,55,31,28770,29640,0.971,0.992,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Ethos_Ltd_.pdf,565,38,80,42,28571,28332,1.008,0.988,"high_degree_of_risk,carefully_consider_risks_described,header_section_risk_factors,lose_all_or_part_investment",section_the_offer,WROTE_NEW,certified_clean
Euro_Pratik_Sales_Ltd_.pdf,490,33,75,42,33435,32937,1.015,0.998,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Excelsoft_Technologies_Ltd_.pdf,485,40,89,49,38630,38235,1.01,0.995,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Exicom_Tele-Systems_Ltd_.pdf,492,35,84,49,39362,37756,1.043,0.913,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Exxaro_Tiles_Ltd_.pdf,363,23,49,26,20066,20045,1.001,0.997,"internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
FSN_E-Commerce_Ventures_Ltd_.pdf,601,46,94,48,32537,32421,1.004,0.992,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Fabtech_Technologies_Ltd_.pdf,521,39,104,65,46720,45971,1.016,0.993,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Fedbank_Financial_Services_Ltd_.pdf,506,31,77,46,42339,41799,1.013,0.902,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Fino_Payments_Bank_Ltd_.pdf,338,22,51,29,27186,27128,1.002,0.989,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Five-Star_Business_Finance_Ltd_.pdf,468,26,56,30,26584,26321,1.01,0.997,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Flair_Writing_Industries_Ltd_.pdf,489,34,80,46,34164,33487,1.02,0.989,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Fractal_Analytics_Ltd_.pdf,652,40,86,46,38660,38046,1.016,0.979,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
