year,IPO,Symbol,Listing Date,IPO Size,Sub,GMP,IPO Price,Estimated Price,Listing Price,Listing Day Cls Price,Closing Price (LTP)
2021,MapmyIndia,"MAPMYINDIA, 543425",21-Dec-21,₹1039.61 Cr,154.71x,₹670,₹1033.00,₹1703,₹1565.00 (51.50%),₹1394.55 (35.00%),₹1083.35 (4.87%)
2021,Shriram Properties,"SHRIRAMPPS, 543419",20-Dec-21,₹600.04 Cr,4.6x,₹-10,₹118.00,₹108,₹90.00 (-23.73%),₹99.60 (-15.59%),₹89.96 (-23.76%)
2021,RateGain,"RATEGAIN, 543417",17-Dec-21,₹1335.74 Cr,17.41x,₹18,₹425.00,₹443,₹360.00 (-15.29%),₹340.50 (-19.88%),₹944.7 (122.28%)
2021,Anand Rathi,"ANANDRATHI, 543415",14-Dec-21,₹659.38 Cr,9.78x,₹45,₹550.00,₹595,₹600.00 (9.09%),₹583.55 (6.10%),₹2146.8 (290.33%)
2021,Tega Industries,"TEGA, 543413",13-Dec-21,₹619.23 Cr,219.04x,₹270,₹453.00,₹723,₹760.00 (67.77%),₹726.05 (60.28%),₹1669 (268.43%)
2021,Star Health,"STARHEALTH, 543412",10-Dec-21,₹6018.68 Cr,0.79x,₹-80,₹900.00,₹820,₹845.00 (-6.11%),₹906.85 (0.76%),₹603.25 (-32.97%)
2021,Go Fashion,"GOCOLORS, 543401",30-Nov-21,₹1013.61 Cr,135.46x,₹495,₹690.00,₹1185,₹1310.00 (89.86%),₹1253.70 (81.70%),₹340.05 (-50.72%)
2021,Tarsons Products,"TARSONS, 543399",26-Nov-21,₹1023.54 Cr,77.49x,₹180,₹662.00,₹842,₹682.00 (3.02%),₹840.00 (26.89%),₹303.3 (-54.18%)
2021,Latent View Analytics,"LATENTVIEW, 543398",23-Nov-21,₹600.00 Cr,326.49x,₹265,₹197.00,₹462,₹512.20 (160.00%),₹488.75 (148.10%),₹301.15 (52.87%)
2021,Sapphire Foods,"SAPPHIRE, 543397",18-Nov-21,₹2073.25 Cr,6.62x,₹130,₹1180.00,₹1310,₹1350.00 (14.41%),₹1216.05 (3.06%),₹182.65 (-22.61%)
2021,Paytm,"PAYTM, 543396",18-Nov-21,₹18300.00 Cr,1.89x,₹-30,₹2150.00,₹2120,₹1950.00 (-9.30%),₹1564.15 (-27.25%),₹1341.8 (-37.59%)
2021,SJS Enterprises,"SJS, 543387",15-Nov-21,₹800.00 Cr,1.59x,₹70,₹542.00,₹612,₹542.00 (0.00%),₹510.20 (-5.87%),₹2183.4 (302.84%)
2021,Sigachi Industries,"SIGACHI, 543389",15-Nov-21,₹125.43 Cr,101.91x,₹225,₹163.00,₹388,₹570.00 (249.69%),₹603.75 (270.40%),₹22.67 (41.69%)
2021,Policybazaar,"POLICYBZR, 543390",15-Nov-21,₹5709.71 Cr,16.58x,₹135,₹980.00,₹1115,₹1150.00 (17.35%),₹1202.90 (22.74%),₹1580.4 (61.27%)
2021,Nykaa,"NYKAA, 543384",10-Nov-21,₹5349.72 Cr,81.78x,₹775,₹1125.00,₹1900,₹2018.00 (79.38%),₹2206.70 (96.15%),₹330.1 (-70.66%)
2021,Aditya Birla AMC,"ABSLAMC, 543374",11-Oct-21,₹2768.26 Cr,5.25x,₹35,₹712.00,₹747,₹715.00 (0.42%),₹699.65 (-1.73%),₹1146.6 (61.04%)
2021,Paras Defence,"PARAS, 543367",1-Oct-21,₹170.78 Cr,304.26x,₹220,₹175.00,₹395,₹475.00 (171.43%),₹498.75 (185.00%),₹1253.1 (1323.98%)
2021,Sansera Engineering,"SANSERA, 543358",24-Sep-21,₹1282.52 Cr,11.47x,₹60,₹744.00,₹804,₹811.50 (9.07%),₹818.70 (10.04%),₹3304 (344.09%)
2021,Ami Organics,"ACUTAAS, 543349",14-Sep-21,₹569.64 Cr,64.54x,₹155,₹610.00,₹765,₹910.00 (49.18%),₹935.00 (53.28%),₹3400.8 (457.51%)
2021,Vijaya Diagnostic,"VIJAYA, 543350",14-Sep-21,₹1894.43 Cr,4.54x,₹-10,₹531.00,₹521,₹540.00 (1.69%),₹620.10 (16.78%),₹1389.1 (161.6%)
2021,Aptus Value Housing Finance,"APTUS, 543335",24-Aug-21,₹2780.05 Cr,17.2x,₹-12,₹353.00,₹341,₹333.00 (-5.67%),₹346.90 (-1.73%),₹283.8 (-19.6%)
2021,Chemplast Sanmar,"CHEMPLASTS, 543336",24-Aug-21,₹3850.00 Cr,2.17x,₹-15,₹541.00,₹526,₹550.00 (1.66%),₹535.60 (-1.00%),₹201.07 (-62.83%)
2021,Nuvoco Vistas Corporation,"NUVOCO, 543334",23-Aug-21,₹5000.00 Cr,1.71x,₹-12,₹570.00,₹558,₹485.00 (-14.91%),₹531.70 (-6.72%),₹320.2 (-43.82%)
2021,CarTrade Tech,"CARTRADE, 543333",20-Aug-21,₹2998.51 Cr,20.29x,₹140,₹1618.00,₹1758,₹1599.80 (-1.12%),₹1501.05 (-7.23%),₹2809.9 (73.67%)
2021,Devyani International,"DEVYANI, 543330",16-Aug-21,₹1838.00 Cr,116.7x,₹59,₹90.00,₹149,₹140.90 (56.56%),₹123.50 (37.22%),₹112.47 (24.97%)
2021,Krsnaa Diagnostics,"KRSNAA, 543328",16-Aug-21,₹1213.33 Cr,64.38x,₹222,₹954.00,₹1176,₹1005.55 (5.40%),₹990.75 (3.85%),₹556.65 (-41.65%)
