filename,total_pages,risk_start_page,risk_end_page,risk_pages,chars,words,n_tables,status,error
Gem_Aromatics_Ltd_.pdf,492,32,83,51,232424,32513,279,ok,
Gland_Pharma_Ltd_.pdf,333,23,52,29,166803,25671,10,ok,
Glenmark_Life_Sciences_Ltd_.pdf,358,25,48,23,124744,19443,7,ok,
Global_Health_Ltd_.pdf,512,40,91,51,246566,36678,157,ok,
Global_Surfaces_Ltd_.pdf,405,35,77,42,175430,27236,17,ok,
Globe_Civil_Projects_Ltd_.pdf,604,41,108,67,301519,41722,393,ok,
Glottis_Ltd_.pdf,477,39,93,54,251743,36834,218,ok,
Go_Digit_General_Insurance_Ltd_.pdf,708,40,120,80,381733,53244,362,ok,
Go_Fashion__India__Ltd_.pdf,414,24,60,36,73077,10441,70,ok,
Godavari_Biorefineries_Ltd_.pdf,484,35,79,44,202768,27982,295,ok,
Gopal_Snacks_Ltd_.pdf,504,35,89,54,256002,35975,245,ok,
Gujarat_Kidney___Super_Speciality_Ltd_.pdf,585,35,76,41,204480,30211,164,ok,
HDB_Financial_Services_Ltd_.pdf,758,32,73,41,231898,34373,173,ok,
HMA_Agro_Industries_Ltd_.pdf,393,27,61,34,179512,27496,42,ok,
HP_Adhesives_Ltd_.pdf,398,30,69,39,167072,25728,20,ok,
Happiest_Minds_Technologies_Ltd_.pdf,462,26,59,33,167446,25709,24,ok,
Happy_Forgings_Ltd_.pdf,524,35,79,44,215671,29816,277,ok,
Hariom_Pipe_Industries_Ltd_.pdf,346,25,50,25,123405,18991,28,ok,
Harsha_Engineers_International_Ltd_.pdf,375,30,62,32,175102,26426,57,ok,
Heranba_Industries_Ltd_.pdf,363,17,36,19,92169,14286,28,ok,
Hexagon_Nutrition_Ltd_.pdf,689,34,116,82,319497,41554,361,ok,
Hexaware_Technologies_Ltd_.pdf,644,34,78,44,218174,31689,205,ok,
Highway_Infrastructure_Ltd_.pdf,537,36,78,42,190513,27412,181,ok,
Home_First_Finance_Co_India_Ltd_.pdf,357,24,45,21,113889,17989,9,ok,
Honasa_Consumer_Ltd_.pdf,431,40,76,36,206123,31077,90,ok,
Hyundai_Motor_India_Ltd_.pdf,476,38,94,56,300832,43778,288,ok,
ICICI_Prudential_Asset_Management_Co_Ltd_.pdf,493,36,70,34,190815,28353,108,ok,
IKIO_Lighting_Ltd_.pdf,559,32,72,40,213048,32219,86,ok,
IRM_Energy_Ltd_.pdf,498,35,75,40,212197,30761,236,ok,
Indegene_Ltd_.pdf,417,28,64,36,195484,29328,86,ok,
IndiaMART_InterMESH_Ltd_.pdf,576,20,51,31,155429,23745,23,ok,
India_Pesticides_Ltd_.pdf,369,30,74,44,232331,35675,28,ok,
India_Shelter_Finance_Corp_Ltd_.pdf,538,32,80,48,212302,29605,354,ok,
Indian_Railway_Catering___Tourism_Corp_Ltd_.pdf,383,26,50,24,116155,18139,3,ok,
Indian_Railway_Finance_Corp_Ltd_.pdf,413,24,52,28,139070,21886,10,ok,
Indian_Renewable_Energy_Development_Agency_Ltd_.pdf,671,38,82,44,226799,33129,184,ok,
Indigo_Paints_Ltd_.pdf,404,24,56,32,187330,28989,9,ok,
Indiqube_Spaces_Ltd_.pdf,607,37,77,40,186750,27113,229,ok,
Indo_Farm_Equipment_Ltd_.pdf,466,29,65,36,185016,27942,105,ok,
Indogulf_Cropsciences_Ltd_.pdf,486,32,71,39,217727,30728,254,ok,
Innova_Captab_Ltd_.pdf,543,32,71,39,187380,27518,157,ok,
Innovision_Ltd_.pdf,488,37,84,47,216281,30318,329,ok,
Inox_Green_Energy_Services_Ltd_.pdf,483,33,68,35,168503,26012,32,ok,
Inox_India_Ltd_.pdf,552,30,74,44,210813,29346,328,ok,
Interarch_Building_Products_Ltd_.pdf,535,34,86,52,254393,37211,194,ok,
International_Gemmological_Institute__India__Ltd_.pdf,613,36,67,31,180863,27021,110,ok,
Inventurus_Knowledge_Solutions_Ltd_.pdf,601,35,37,2,7703,890,13,ok,
Ivalue_Infosolutions_Ltd_.pdf,525,46,79,33,161658,23480,141,ok,
JNK_India_Ltd_.pdf,464,34,77,43,199586,28862,200,ok,
JSW_Cement_Ltd_.pdf,774,44,104,60,284062,41444,295,ok,
JSW_Infrastructure_Ltd_.pdf,575,34,76,42,200411,28181,237,ok,
J_G_Chemicals_Ltd_.pdf,433,34,68,34,178153,27214,56,ok,
Jain_Resource_Recycling_Ltd_.pdf,559,39,94,55,255515,35300,279,ok,
Jana_Small_Finance_Bank_Ltd_.pdf,603,43,103,60,260851,35709,498,ok,
Jaro_Institute_of_Technology_Management___Research_Ltd_.pdf,511,37,82,45,205945,29538,166,ok,
Jinkushal_Industries_Ltd_.pdf,471,39,87,48,194101,27047,184,ok,
Juniper_Hotels_Ltd_.pdf,757,38,96,58,307368,43371,395,ok,
Jupiter_Life_Line_Hospitals_Ltd_.pdf,442,33,69,36,174374,25696,100,ok,
Jyoti_CNC_Automation_Ltd_.pdf,511,48,91,43,201041,28787,215,ok,
KFin_Technologies_Ltd_.pdf,572,29,78,49,246662,36400,110,ok,
KRN_Heat_Exchanger___Refrigeration_Ltd_.pdf,468,34,92,58,232324,33745,197,ok,
KSH_International_Ltd_.pdf,483,30,69,39,209018,30176,203,ok,
Kalpataru_Ltd_.pdf,765,35,92,57,249440,33838,296,ok,
Kalyan_Jewellers_India_Ltd_.pdf,509,26,63,37,181909,26927,83,ok,
Kaynes_Technology_India_Ltd_.pdf,503,40,90,50,258930,35876,364,ok,
Keystone_Realtors_Ltd_.pdf,563,36,81,45,216969,31352,211,ok,
Knack_Packaging_Ltd_.pdf,531,28,84,56,245509,33768,314,ok,
Krishna_Institute_of_Medical_Sciences_Ltd_.pdf,415,30,63,33,197037,30358,26,ok,
Kronox_Lab_Sciences_Ltd_.pdf,400,30,61,31,142858,20423,155,ok,
Kross_Ltd_.pdf,435,31,75,44,207181,30103,188,ok,
Krsnaa_Diagnostics_Ltd_.pdf,414,25,62,37,186698,28765,12,ok,
Krystal_Integrated_Services_Ltd_.pdf,447,33,80,47,214212,30298,158,ok_E_standalone,tried: A_strict=NO(no start match) | B_endash_pre=NO(no start match) | C_letter=NO(no start match) | D_reversed=NO(no start match) | E_standalone=pp33-80
LG_Electronics_India_Ltd_.pdf,502,42,104,62,335881,47880,310,ok,
Landmark_Cars_Ltd_.pdf,530,29,65,36,188689,28651,50,ok,
Latent_View_Analytics_Ltd_.pdf,349,26,56,30,185474,27552,61,ok,
Laxmi_Dental_Ltd_.pdf,610,40,121,81,340972,37995,1088,ok,
Laxmi_India_Finance_Ltd_.pdf,527,37,76,39,202856,29084,226,ok,
Laxmi_Organic_Industries_Ltd_.pdf,413,27,65,38,186040,28646,31,ok,
Le_Travenues_Technology_Ltd_.pdf,533,34,73,39,188300,27841,113,ok,
Lenskart_Solutions_Ltd_.pdf,1083,68,118,50,289731,41240,223,ok,
Life_Insurance_Corp_of_India.pdf,663,27,74,47,279251,41487,109,ok,
Likhitha_Infrastructure_Ltd_.pdf,348,33,59,26,94648,14670,12,ok,
MSTC_Ltd_.pdf,337,26,47,21,105112,16349,18,ok,
MTAR_Technologies_Ltd_.pdf,568,29,66,37,183311,28229,22,ok,
M_B_Engineering_Ltd_.pdf,499,32,82,50,269730,38306,297,ok,
