company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Capital Small Finance Bank Ltd.,2024,2024-02-14,-0.0720085470085469,Capital_Small_Finance_Bank_Ltd_,185154,29174,85,87,2,"54,55",False,1,1,0,0,0,3,0,7,11,0,11,7,9,6,0,ok,ok
Jana Small Finance Bank Ltd.,2024,2024-02-14,-0.1106280193236715,Jana_Small_Finance_Bank_Ltd_,281191,44521,91,91,0,,False,3,12,0,0,0,26,25,10,10,1,9,5,6,1,0,ok,ok
Rashi Peripherals Ltd.,2024,2024-02-14,0.0307073954983923,Rashi_Peripherals_Ltd_,224879,34892,89,89,0,,False,3,2,0,0,0,1,0,2,3,0,6,12,10,0,0,ok,ok
Entero Healthcare Solutions Ltd.,2024,2024-02-16,-0.0862480127186009,Entero_Healthcare_Solutions_Ltd_,139391,21630,65,65,0,,False,0,3,0,0,0,11,0,0,6,0,9,12,0,0,0,ok,ok
Vibhor Steel Tubes Ltd.,2024,2024-02-20,1.9271523178807948,Vibhor_Steel_Tubes_Ltd_,135858,21375,70,70,0,,False,0,1,1,1,0,1,0,0,0,0,7,3,0,0,0,ok_E_standalone,ok_patched
Juniper Hotels Ltd.,2024,2024-02-28,0.1036111111111111,Juniper_Hotels_Ltd_,263819,41066,82,82,0,,False,2,4,0,0,0,2,4,10,8,0,11,11,0,0,2,ok,ok
GPT Healthcare Ltd.,2024,2024-02-29,0.0793010752688172,GPT_Healthcare_Ltd_,201601,31226,67,67,0,,False,2,7,0,1,0,2,0,9,8,0,10,13,1,0,0,ok,ok
Exicom Tele-Systems Ltd.,2024,2024-03-05,0.5890845070422536,Exicom_Tele-Systems_Ltd_,222596,34648,80,80,0,,False,1,8,3,0,0,1,5,2,10,0,9,7,1,4,0,ok,ok
Platinum Industries Ltd.,2024,2024-03-05,0.2918128654970761,Platinum_Industries_Ltd_,185376,28972,80,80,0,,False,0,5,2,1,0,3,0,0,7,0,8,4,1,0,0,ok,ok
Mukka Proteins Ltd.,2024,2024-03-07,0.5092857142857142,Mukka_Proteins_Ltd_,258704,38280,4,4,0,,False,2,3,5,2,0,1,0,0,6,0,7,9,0,0,5,ok_A_strict_plaintext,ok_patched
R K SWAMY Ltd.,2024,2024-03-12,-0.0859375,R_K_SWAMY_Ltd_,168411,25655,68,68,0,,False,1,4,0,0,0,1,0,0,5,0,12,4,0,0,8,ok,ok
J.G.Chemicals Ltd.,2024,2024-03-13,-0.1644796380090497,J_G_Chemicals_Ltd_,172390,26947,80,80,0,,False,0,3,1,0,0,1,0,0,6,0,4,6,0,0,0,ok,ok
Gopal Snacks Ltd.,2024,2024-03-14,-0.1021197007481296,Gopal_Snacks_Ltd_,214277,33508,84,84,0,,False,1,7,0,0,0,9,0,0,2,0,9,10,2,0,0,ok,ok
Popular Vehicles & Services Ltd.,2024,2024-03-19,-0.0635593220338983,Popular_Vehicles___Services_Ltd_,173471,27059,79,79,0,,False,6,3,0,0,0,2,0,6,7,0,5,11,0,0,0,ok,ok
